Landsat Product Identifier;Landsat Scene Identifier;Acquisition Date;Collection Category;Collection Number;WRS Path;WRS Row;Target WRS Path;Target WRS Row;Nadir/Off Nadir;Roll Angle;Date L-1 Generated;Start Time;Stop Time;Station Identifier;Day/Night Indicator;Land Cloud Cover;Scene Cloud Cover;Ground Control Points Model;Ground Control Points Version;Geometric RMSE Model (meters);Geometric RMSE Model X;Geometric RMSE Model Y;Image Quality; Processing Software Version;Sun Elevation;Sun Azimuth;TIRS SSM Model;Data Type Level-1;Sensor Identifier;Output Format;Corner UL Latitude Product;Corner UL Longitude Product;Corner UR Latitude Product;Corner UR Longitude Product;Corner LR Latitude Product;Corner LR Longitude Product;Corner LL Latitude Product;Corner LL Longitude Product;Panchromatic Lines;Panchromatic Samples;Reflective Lines;Reflective Samples;Thermal Lines;Thermal Samples;Map Projection Level-1;UTM Zone;Datum;Ellipsoid;Grid Cell Size Panchromatic;Grid Cell Size Reflective;Grid Cell Size Thermal;Orientation;Resampling Option;Bias Parameter File Name OLI;Bias Parameter File Name TIRS; Calibration Parameter File;RLUT File Name;Center Latitude;Center Longitude;NW Corner Lat;NW Corner Long;NE Corner Lat;NE Corner Long;SE Corner Lat;SE Corner Long;SW Corner Lat;SW Corner Long;Center Latitude dec;Center Longitude dec;NW Corner Lat dec;NW Corner Long dec;NE Corner Lat dec;NE Corner Long dec;SE Corner Lat dec;SE Corner Long dec;SW Corner Lat dec;SW Corner Long dec;Display ID;Ordering ID;Browse Link
LC08_L1TP_232084_20130402_20170505_01_T1;LC82320842013092LGN03;02-04-2013;T1;1;232;84;232;84;NADIR;0;05-05-2017;2013:092:14:31:19.5357580;2013:092:14:31:49.3317780;LGN;DAY;3.21;3.21;313;4;7.182;4.154;5.859;9;LPGS_2.7.0;39.47689938;44.81464361;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.61366   (33°36'49.18""S)";" -70.89995   (70°53'59.82""W)";"-33.99748   (33°59'50.93""S)";" -68.91802   (68°55'04.87""W)";"-35.60832   (35°36'29.95""S)";" -69.35310   (69°21'11.16""W)";"-35.21783   (35°13'04.19""S)";" -71.37365  (71°22'25.14""W)";14661;14961;7331;7481;7331;7481;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20130402140052_20130402143228.01;LT8BPF20130402135658_20130402143320.01;LC08CPF_20130401_20130627_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'39.56""S";"70°08'11.00""W";"33°36'49.18""S";"70°53'59.82""W";"33°59'50.93""S";"68°55'04.87""W";"35°36'29.95""S";"69°21'11.16""W";"35°13'04.19""S";"71°22'25.14""W";-34.61099;-70.13639;-33.61366;-70.89995;-33.99748;-68.91802;-35.60832;-69.3531;-35.21783;-71.37365;LC08_L1TP_232084_20130402_20170505_01_T1;LC08_L1TP_232084_20130402_20170505_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842013092LGN03
LC08_L1TP_232084_20130421_20170505_01_T1;LC82320842013111LGN02;21-04-2013;T1;1;232;84;232;84;NADIR;-0.001;04-05-2017;2013:111:14:29:26.0496340;2013:111:14:29:55.8456540;LGN;DAY;4.36;4.36;431;4;7.297;4.526;5.723;9;LPGS_2.7.0;34.44624353;38.66355844;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.61407   (33°36'50.65""S)";" -70.34089   (70°20'27.20""W)";"-34.00679   (34°00'24.44""S)";" -68.31107   (68°18'39.85""W)";"-35.60699   (35°36'25.16""S)";" -68.74256   (68°44'33.22""W)";"-35.20758   (35°12'27.29""S)";" -70.81124  (70°48'40.46""W)";14701;15281;7351;7641;7351;7641;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20130421135851_20130421144546.01;LT8BPF20130421135457_20130421144638.01;LC08CPF_20130401_20130627_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'38.23""S";"69°33'06.44""W";"33°36'50.65""S";"70°20'27.20""W";"34°00'24.44""S";"68°18'39.85""W";"35°36'25.16""S";"68°44'33.22""W";"35°12'27.29""S";"70°48'40.46""W";-34.61062;-69.55179;-33.61407;-70.34089;-34.00679;-68.31107;-35.60699;-68.74256;-35.20758;-70.81124;LC08_L1TP_232084_20130421_20170505_01_T1;LC08_L1TP_232084_20130421_20170505_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842013111LGN02
LC08_L1TP_232084_20130523_20170504_01_T1;LC82320842013143LGN02;23-05-2013;T1;1;232;84;232;84;NADIR;0;04-05-2017;2013:143:14:29:41.3633170;2013:143:14:30:11.1593370;LGN;DAY;2.81;2.81;341;4;7.93;4.714;6.376;9;LPGS_2.7.0;27.2167926;33.12466146;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.61390   (33°36'50.04""S)";" -70.38076   (70°22'50.74""W)";"-34.00619   (34°00'22.28""S)";" -68.35279   (68°21'10.04""W)";"-35.60692   (35°36'24.91""S)";" -68.78437   (68°47'03.73""W)";"-35.20796   (35°12'28.66""S)";" -70.85116  (70°51'04.18""W)";14701;15261;7351;7631;7351;7631;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20130523135731_20130523143537.01;LT8BPF20130523135338_20130523143629.01;LC08CPF_20130401_20130627_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'37.84""S";"69°35'33.36""W";"33°36'50.04""S";"70°22'50.74""W";"34°00'22.28""S";"68°21'10.04""W";"35°36'24.91""S";"68°47'03.73""W";"35°12'28.66""S";"70°51'04.18""W";-34.61051;-69.5926;-33.6139;-70.38076;-34.00619;-68.35279;-35.60692;-68.78437;-35.20796;-70.85116;LC08_L1TP_232084_20130523_20170504_01_T1;LC08_L1TP_232084_20130523_20170504_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842013143LGN02
LC08_L1TP_232084_20130608_20170504_01_T1;LC82320842013159LGN01;08-06-2013;T1;1;232;84;232;84;NADIR;0;04-05-2017;2013:159:14:29:40.2428870;2013:159:14:30:10.0389070;LGN;DAY;5.99;5.99;247;4;7.567;4.96;5.715;9;LPGS_2.7.0;25.02216298;32.46509545;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.61387   (33°36'49.93""S)";" -70.36610   (70°21'57.96""W)";"-34.00589   (34°00'21.20""S)";" -68.33932   (68°20'21.55""W)";"-35.60694   (35°36'24.98""S)";" -68.77092   (68°46'15.31""W)";"-35.20824   (35°12'29.66""S)";" -70.83651  (70°50'11.44""W)";14701;15261;7351;7631;7351;7631;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20130608141437_20130608143448.01;LT8BPF20130608141044_20130608143540.01;LC08CPF_20130401_20130627_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'37.80""S";"69°34'42.67""W";"33°36'49.93""S";"70°21'57.96""W";"34°00'21.20""S";"68°20'21.55""W";"35°36'24.98""S";"68°46'15.31""W";"35°12'29.66""S";"70°50'11.44""W";-34.6105;-69.57852;-33.61387;-70.3661;-34.00589;-68.33932;-35.60694;-68.77092;-35.20824;-70.83651;LC08_L1TP_232084_20130608_20170504_01_T1;LC08_L1TP_232084_20130608_20170504_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842013159LGN01
LC08_L1TP_232084_20130624_20170504_01_T1;LC82320842013175LGN01;24-06-2013;T1;1;232;84;232;84;NADIR;0;03-05-2017;2013:175:14:29:34.5572100;2013:175:14:30:04.3532300;LGN;DAY;6.36;6.36;269;4;7.814;4.894;6.091;9;LPGS_2.7.0;24.20577812;32.93871728;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.61405   (33°36'50.58""S)";" -70.33462   (70°20'04.63""W)";"-34.00607   (34°00'21.85""S)";" -68.30767   (68°18'27.61""W)";"-35.60706   (35°36'25.42""S)";" -68.73920   (68°44'21.12""W)";"-35.20837   (35°12'30.13""S)";" -70.80501  (70°48'18.04""W)";14701;15261;7351;7631;7351;7631;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20130624141655_20130624143443.01;LT8BPF20130624141302_20130624143535.01;LC08CPF_20130401_20130627_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'38.27""S";"69°32'49.02""W";"33°36'50.58""S";"70°20'04.63""W";"34°00'21.85""S";"68°18'27.61""W";"35°36'25.42""S";"68°44'21.12""W";"35°12'30.13""S";"70°48'18.04""W";-34.61063;-69.54695;-33.61405;-70.33462;-34.00607;-68.30767;-35.60706;-68.7392;-35.20837;-70.80501;LC08_L1TP_232084_20130624_20170504_01_T1;LC08_L1TP_232084_20130624_20170504_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842013175LGN01
LC08_L1TP_232084_20130827_20170502_01_T1;LC82320842013239LGN01;27-08-2013;T1;1;232;84;232;84;NADIR;-0.001;02-05-2017;2013:239:14:29:40.7759990;2013:239:14:30:12.5459950;LGN;DAY;4.53;4.53;323;4;7.444;4.818;5.674;9;LPGS_2.7.0;35.94368898;40.74834248;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.55546   (33°33'19.66""S)";" -70.34101   (70°20'27.64""W)";"-33.94758   (33°56'51.29""S)";" -68.31310   (68°18'47.16""W)";"-35.66622   (35°39'58.39""S)";" -68.77610   (68°46'33.96""W)";"-35.26713   (35°16'01.67""S)";" -70.84579  (70°50'44.84""W)";15581;15481;7791;7741;7791;7741;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20130827135729_20130827143516.01;LT8BPF20130827135335_20130827143609.01;LC08CPF_20130701_20130919_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'39.28""S";"69°34'08.76""W";"33°33'19.66""S";"70°20'27.64""W";"33°56'51.29""S";"68°18'47.16""W";"35°39'58.39""S";"68°46'33.96""W";"35°16'01.67""S";"70°50'44.84""W";-34.61091;-69.5691;-33.55546;-70.34101;-33.94758;-68.3131;-35.66622;-68.7761;-35.26713;-70.84579;LC08_L1TP_232084_20130827_20170502_01_T1;LC08_L1TP_232084_20130827_20170502_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842013239LGN01
LC08_L1TP_232084_20131115_20170428_01_T1;LC82320842013319LGN01;15-11-2013;T1;1;232;84;232;84;NADIR;-0.001;28-04-2017;2013:319:14:29:19.5718630;2013:319:14:29:51.3418590;LGN;DAY;2.21;2.21;478;4;5.858;4.072;4.212;9;LPGS_2.7.0;60.2235667;64.83986174;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.55551   (33°33'19.84""S)";" -70.32323   (70°19'23.63""W)";"-33.94721   (33°56'49.96""S)";" -68.29597   (68°17'45.49""W)";"-35.66609   (35°39'57.92""S)";" -68.75866   (68°45'31.18""W)";"-35.26742   (35°16'02.71""S)";" -70.82774  (70°49'39.86""W)";15581;15481;7791;7741;7791;7741;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20131115130737_20131115144742.02;LT8BPF20131115135649_20131115144835.01;LC08CPF_20131026_20131231_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'39.13""S";"69°33'05.29""W";"33°33'19.84""S";"70°19'23.63""W";"33°56'49.96""S";"68°17'45.49""W";"35°39'57.92""S";"68°45'31.18""W";"35°16'02.71""S";"70°49'39.86""W";-34.61087;-69.55147;-33.55551;-70.32323;-33.94721;-68.29597;-35.66609;-68.75866;-35.26742;-70.82774;LC08_L1TP_232084_20131115_20170428_01_T1;LC08_L1TP_232084_20131115_20170428_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842013319LGN01
LC08_L1TP_232084_20131201_20170428_01_T1;LC82320842013335LGN01;01-12-2013;T1;1;232;84;232;84;NADIR;-0.001;28-04-2017;2013:335:14:29:15.2134380;2013:335:14:29:46.9834340;LGN;DAY;1.4;1.4;491;4;6.327;4.473;4.474;9;LPGS_2.7.0;61.24179465;71.55609336;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.55519   (33°33'18.68""S)";" -70.33036   (70°19'49.30""W)";"-33.94700   (33°56'49.20""S)";" -68.30222   (68°18'07.99""W)";"-35.66569   (35°39'56.48""S)";" -68.76473   (68°45'53.03""W)";"-35.26691   (35°16'00.88""S)";" -70.83469  (70°50'04.88""W)";15581;15481;7791;7741;7791;7741;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20131201140214_20131201144738.01;LT8BPF20131201122525_20131201144831.01;LC08CPF_20131026_20131231_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'37.76""S";"69°33'29.09""W";"33°33'18.68""S";"70°19'49.30""W";"33°56'49.20""S";"68°18'07.99""W";"35°39'56.48""S";"68°45'53.03""W";"35°16'00.88""S";"70°50'04.88""W";-34.61049;-69.55808;-33.55519;-70.33036;-33.947;-68.30222;-35.66569;-68.76473;-35.26691;-70.83469;LC08_L1TP_232084_20131201_20170428_01_T1;LC08_L1TP_232084_20131201_20170428_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842013335LGN01
LC08_L1TP_232084_20131217_20170427_01_T1;LC82320842013351LGN01;17-12-2013;T1;1;232;84;232;84;NADIR;-0.001;27-04-2017;2013:351:14:29:07.7703060;2013:351:14:29:39.5403020;LGN;DAY;3.44;3.44;460;4;5.944;3.926;4.463;9;LPGS_2.7.0;60.5849527;75.94987053;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.55564   (33°33'20.30""S)";" -70.32751   (70°19'39.04""W)";"-33.94729   (33°56'50.24""S)";" -68.29967   (68°17'58.81""W)";"-35.66608   (35°39'57.89""S)";" -68.76214   (68°45'43.70""W)";"-35.26746   (35°16'02.86""S)";" -70.83176  (70°49'54.34""W)";15581;15481;7791;7741;7791;7741;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20131217140206_20131217144730.01;LT8BPF20131217122517_20131217144823.01;LC08CPF_20131026_20131231_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'39.28""S";"69°33'19.30""W";"33°33'20.30""S";"70°19'39.04""W";"33°56'50.24""S";"68°17'58.81""W";"35°39'57.89""S";"68°45'43.70""W";"35°16'02.86""S";"70°49'54.34""W";-34.61091;-69.55536;-33.55564;-70.32751;-33.94729;-68.29967;-35.66608;-68.76214;-35.26746;-70.83176;LC08_L1TP_232084_20131217_20170427_01_T1;LC08_L1TP_232084_20131217_20170427_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842013351LGN01
LC08_L1TP_232084_20140219_20170425_01_T1;LC82320842014050LGN01;19-02-2014;T1;1;232;84;232;84;NADIR;0;25-04-2017;2014:050:14:28:26.1430940;2014:050:14:28:57.9130900;LGN;DAY;4.07;4.07;442;4;5.693;3.917;4.131;9;LPGS_2.7.0;49.88896829;62.99714885;ACTUAL;Level 1TP;OLI_TIRS;GEOTIFF;"-33.55555   (33°33'19.98""S)";" -70.30875   (70°18'31.50""W)";"-33.94643   (33°56'47.15""S)";" -68.28249   (68°16'56.96""W)";"-35.66573   (35°39'56.63""S)";" -68.74450   (68°44'40.20""W)";"-35.26789   (35°16'04.40""S)";" -70.81258  (70°48'45.29""W)";15581;15461;7791;7731;7791;7731;UTM;19;WGS84;WGS84;15;30;30;NORTH_UP;CUBIC_CONVOLUTION;LO8BPF20140219121921_20140219144449.01;LT8BPF20140219112644_20140219144542.01;LC08CPF_20140101_20140331_01.01;LC08RLUT_20130211_20150302_01_11.h5;"34°36'38.52""S";"69°32'13.78""W";"33°33'19.98""S";"70°18'31.50""W";"33°56'47.15""S";"68°16'56.96""W";"35°39'56.63""S";"68°44'40.20""W";"35°16'04.40""S";"70°48'45.29""W";-34.6107;-69.53716;-33.55555;-70.30875;-33.94643;-68.28249;-35.66573;-68.7445;-35.26789;-70.81258;LC08_L1TP_232084_20140219_20170425_01_T1;LC08_L1TP_232084_20140219_20170425_01_T1;https://earthexplorer.usgs.gov/browse-link/12864/LC82320842014050LGN01
